store_id,date,labor_hours,labor_cost
17,4/24/2025,64,1344
15,5/10/2025,48,1056
23,8/26/2025,32,768
12,12/19/2025,57,912
15,8/19/2025,44,792
20,3/6/2025,44,748
20,1/16/2025,55,1045
5,3/4/2025,38,836
5,6/4/2025,25,575
18,4/14/2025,38,950
25,2/13/2025,53,1325
6,4/12/2025,43,946
6,2/9/2025,46,1058
11,8/13/2025,50,800
17,9/12/2025,57,1140
18,3/10/2025,32,800
8,1/24/2025,35,595
18,12/19/2025,25,425
1,7/22/2025,36,684
8,1/10/2025,50,1000
1,8/13/2025,46,736
23,2/12/2025,58,870
3,12/11/2025,28,672
17,7/15/2025,43,817
16,2/26/2025,33,825
4,4/3/2025,37,555
7,2/23/2025,50,750
11,9/13/2025,43,903
5,3/6/2025,64,1216
12,2/14/2025,61,976
23,5/23/2025,25,525
9,7/29/2025,43,946
11,2/18/2025,44,924
17,4/21/2025,44,704
22,6/10/2025,60,1320
20,8/11/2025,58,1160
24,12/24/2025,27,459
3,5/26/2025,49,980
19,11/18/2025,36,756
6,6/22/2025,30,750
17,1/27/2025,63,1134
10,2/21/2025,37,592
21,9/15/2025,25,575
1,2/17/2025,46,690
21,11/21/2025,34,714
7,3/16/2025,52,884
20,11/4/2025,37,629
24,9/18/2025,47,1175
13,1/16/2025,57,855
14,2/24/2025,31,651
1,12/7/2025,49,833
23,10/11/2025,48,864
7,11/28/2025,51,969
20,6/26/2025,45,675
10,5/28/2025,64,1600
4,12/23/2025,35,665
1,4/3/2025,25,450
18,7/9/2025,53,795
14,6/1/2025,35,560
21,6/28/2025,52,936
6,5/21/2025,61,1281
13,4/3/2025,45,855
19,3/9/2025,53,795
10,4/7/2025,28,504
4,2/20/2025,47,1175
11,6/22/2025,38,570
18,1/21/2025,60,1440
11,6/11/2025,24,456
10,11/11/2025,35,665
17,6/22/2025,41,615
25,1/27/2025,61,1098
2,4/27/2025,51,1275
21,10/21/2025,56,896
17,8/31/2025,33,792
19,12/1/2025,46,1104
2,9/17/2025,39,702
2,9/12/2025,58,1102
18,4/26/2025,47,1175
10,1/18/2025,43,731
16,8/9/2025,33,726
7,4/24/2025,48,720
21,1/19/2025,64,1216
14,8/12/2025,52,780
10,6/17/2025,24,432
21,5/30/2025,63,1386
10,1/24/2025,36,648
14,5/17/2025,64,960
25,1/4/2025,48,1152
22,1/11/2025,36,612
25,9/24/2025,28,616
8,7/18/2025,37,851
21,8/20/2025,33,693
25,4/3/2025,34,714
15,10/4/2025,61,1403
10,8/6/2025,49,735
22,2/27/2025,46,736
9,9/6/2025,35,770
4,10/24/2025,27,567
1,5/16/2025,61,1220
16,7/21/2025,60,1440
6,3/3/2025,51,1020
24,8/12/2025,56,896
16,4/14/2025,52,936
1,4/20/2025,57,855
20,12/13/2025,42,714
12,10/8/2025,45,855
3,10/25/2025,36,612
17,3/8/2025,36,720
25,2/4/2025,49,1078
23,3/16/2025,56,1120
18,6/14/2025,52,1040
14,10/12/2025,46,828
17,8/28/2025,61,1525
18,4/13/2025,32,800
4,4/12/2025,39,936
25,3/7/2025,39,741
9,1/24/2025,32,736
24,2/2/2025,50,800
2,9/11/2025,56,840
4,6/14/2025,55,880
15,12/6/2025,56,840
5,5/27/2025,63,1197
20,3/3/2025,61,1159
1,3/30/2025,63,1134
4,4/29/2025,34,782
24,11/26/2025,59,885
18,2/18/2025,24,408
17,10/27/2025,53,954
25,4/3/2025,62,1302
4,3/15/2025,35,560
25,11/9/2025,64,1024
9,7/2/2025,28,672
2,7/15/2025,26,598
5,4/20/2025,34,510
9,8/7/2025,25,475
10,1/22/2025,34,544
19,6/25/2025,28,448
3,5/13/2025,63,1260
24,4/9/2025,38,760
5,6/28/2025,27,513
9,8/14/2025,63,1512
5,8/8/2025,53,1060
25,4/23/2025,36,576
8,8/24/2025,42,924
4,8/27/2025,58,1218
18,5/30/2025,45,990
7,6/5/2025,52,988
4,12/28/2025,41,943
8,4/5/2025,31,775
22,5/29/2025,45,900
16,2/7/2025,43,903
11,4/13/2025,45,810
2,10/29/2025,51,1224
1,1/29/2025,56,1008
4,12/9/2025,46,966
10,3/7/2025,45,1080
20,2/11/2025,30,630
13,12/22/2025,26,442
15,9/16/2025,35,700
1,12/26/2025,45,855
14,4/20/2025,36,792
9,5/7/2025,28,532
25,1/18/2025,52,1144
10,8/3/2025,33,825
18,12/4/2025,53,1060
11,8/2/2025,27,540
7,8/6/2025,30,570
7,5/11/2025,64,1472
11,5/29/2025,57,912
18,3/11/2025,46,1150
6,12/30/2025,64,1088
24,3/29/2025,57,912
10,11/6/2025,47,846
18,6/16/2025,62,1488
16,5/27/2025,40,880
9,3/11/2025,59,1180
7,9/9/2025,25,375
3,12/21/2025,51,1224
12,5/17/2025,34,578
5,5/23/2025,64,1472
17,1/30/2025,34,510
16,5/12/2025,54,864
19,3/26/2025,54,1242
4,4/5/2025,53,1060
2,10/16/2025,50,900
25,3/13/2025,57,1368
19,9/5/2025,28,616
9,6/24/2025,40,840
24,9/3/2025,55,935
4,4/13/2025,52,988
10,1/11/2025,51,1122
22,6/3/2025,26,572
21,3/28/2025,49,980
7,9/21/2025,48,1104
18,2/5/2025,61,1525
16,1/6/2025,31,558
24,7/24/2025,28,700
17,1/30/2025,44,704
19,9/30/2025,61,1464
23,4/28/2025,25,400
20,4/4/2025,60,1140
19,7/4/2025,53,1113
10,9/15/2025,44,880
1,5/7/2025,26,494
6,5/21/2025,32,608
19,12/18/2025,46,782
23,4/22/2025,35,630
9,11/14/2025,53,954
12,1/28/2025,28,672
10,12/21/2025,60,1080
16,2/11/2025,36,792
16,4/28/2025,59,885
12,3/14/2025,34,612
1,8/12/2025,47,1175
5,7/13/2025,29,725
9,3/19/2025,51,1224
2,12/24/2025,45,855
24,10/10/2025,64,960
20,3/14/2025,36,864
20,10/23/2025,26,520
5,10/17/2025,39,624
8,1/10/2025,43,903
5,12/20/2025,50,1000
8,11/9/2025,51,816
12,6/1/2025,33,726
6,10/21/2025,59,944
20,6/2/2025,50,1200
9,11/1/2025,59,1416
5,1/10/2025,24,504
7,1/24/2025,52,988
21,8/18/2025,55,1100
22,3/28/2025,60,1200
5,6/1/2025,31,744
25,5/15/2025,34,544
11,6/11/2025,51,867
2,11/18/2025,27,675
20,6/6/2025,64,960
3,2/14/2025,54,1188
15,12/15/2025,38,722
13,4/1/2025,58,1218
10,12/14/2025,54,918
1,11/12/2025,38,836
24,4/14/2025,52,988
14,4/30/2025,54,1134
7,7/4/2025,57,1026
3,3/3/2025,40,1000
23,11/19/2025,46,1104
16,5/20/2025,41,861
8,1/24/2025,37,629
25,11/16/2025,61,1281
13,3/1/2025,43,903
25,4/11/2025,27,405
4,6/4/2025,64,1536
3,4/21/2025,54,810
8,10/18/2025,64,1600
8,4/5/2025,50,1100
23,6/10/2025,39,819
3,5/7/2025,64,1344
10,5/2/2025,25,525
22,9/25/2025,30,630
25,10/14/2025,55,1045
18,12/11/2025,59,944
11,8/11/2025,43,645
20,7/31/2025,31,682
17,11/15/2025,60,1320
8,3/2/2025,64,1152
15,9/17/2025,28,476
24,6/20/2025,35,560
5,1/17/2025,38,608
23,11/13/2025,48,1200
19,9/13/2025,29,493
15,10/10/2025,50,1250
10,11/12/2025,53,1219
1,10/31/2025,52,780
24,2/1/2025,52,1196
15,11/22/2025,32,608
5,5/4/2025,58,1044
16,9/18/2025,37,629
17,2/9/2025,48,1200
9,6/17/2025,38,798
5,8/4/2025,24,456
17,7/24/2025,29,464
8,2/2/2025,44,1056
22,9/9/2025,40,800
6,10/13/2025,64,1472
14,3/20/2025,31,744
18,5/5/2025,42,756
6,3/2/2025,43,989
13,5/12/2025,29,580
24,4/19/2025,37,925
17,10/16/2025,28,588
8,12/11/2025,51,816
24,3/13/2025,44,836
12,5/24/2025,37,666
11,6/21/2025,28,560
23,3/31/2025,29,696
7,9/15/2025,32,736
14,2/21/2025,51,1122
21,3/21/2025,47,752
5,8/6/2025,45,990
7,1/19/2025,54,1080
4,11/20/2025,63,1575
12,3/10/2025,24,432
3,2/1/2025,37,703
7,2/7/2025,55,1100
17,4/6/2025,42,630
13,5/12/2025,55,1265
16,10/26/2025,41,943
3,1/23/2025,37,666
4,8/19/2025,31,589
9,11/23/2025,54,1296
13,7/8/2025,63,945
3,2/11/2025,30,720
8,8/13/2025,24,480
25,9/4/2025,53,1060
14,5/6/2025,56,1344
21,9/12/2025,34,510
13,2/19/2025,30,660
11,10/1/2025,29,667
8,11/4/2025,42,756
1,11/25/2025,51,918
17,1/30/2025,60,1140
6,7/18/2025,41,779
18,6/11/2025,60,1140
17,7/21/2025,45,945
18,1/21/2025,37,592
25,10/6/2025,42,924
17,5/11/2025,37,925
25,7/11/2025,26,416
21,3/10/2025,45,990
21,5/15/2025,42,798
14,8/28/2025,59,1239
19,3/11/2025,45,1035
9,2/11/2025,64,1408
11,5/14/2025,62,1488
16,11/2/2025,39,585
4,9/13/2025,35,840
22,4/2/2025,27,513
24,5/17/2025,38,684
15,6/19/2025,41,861
14,4/19/2025,24,528
1,11/3/2025,50,1050
15,4/12/2025,42,1050
1,9/4/2025,41,1025
25,12/15/2025,33,792
15,7/2/2025,62,1364
6,9/11/2025,26,494
10,3/2/2025,40,720
19,3/31/2025,27,405
16,8/1/2025,44,1056
8,3/3/2025,64,1088
14,10/2/2025,38,760
7,10/12/2025,43,1075
9,2/6/2025,26,546
7,3/9/2025,30,480
23,5/31/2025,52,1300
5,10/23/2025,30,690
18,7/18/2025,48,816
7,7/10/2025,35,840
9,10/29/2025,27,459
11,12/30/2025,44,880
22,11/25/2025,45,765
2,3/23/2025,57,1197
20,6/2/2025,61,976
11,4/3/2025,37,851
3,11/27/2025,59,1239
14,9/21/2025,53,1325
1,11/14/2025,50,1200
9,1/11/2025,57,1368
1,8/23/2025,57,912
12,9/24/2025,29,667
25,11/15/2025,35,630
9,6/9/2025,44,748
15,4/10/2025,24,528
7,4/2/2025,38,570
7,12/10/2025,28,420
9,11/1/2025,63,1071
23,11/11/2025,63,945
18,9/20/2025,26,624
19,4/2/2025,41,984
19,7/4/2025,24,408
17,9/1/2025,59,1121
1,8/25/2025,48,864
22,9/23/2025,32,800
4,11/20/2025,57,1425
19,6/16/2025,36,612
20,9/11/2025,26,572
6,8/7/2025,37,740
24,4/25/2025,58,1218
21,1/24/2025,58,1218
2,4/19/2025,47,987
24,6/11/2025,51,816
13,11/10/2025,54,1242
11,1/30/2025,59,1475
8,3/7/2025,49,1078
22,2/11/2025,32,800
21,5/10/2025,34,544
2,6/11/2025,32,576
25,1/14/2025,51,1275
12,9/30/2025,29,435
12,10/23/2025,58,870
20,3/8/2025,51,969
3,4/14/2025,45,855
21,3/12/2025,57,1368
24,4/13/2025,63,1512
4,1/5/2025,51,765
17,5/23/2025,36,720
5,6/5/2025,29,667
3,7/29/2025,40,840
20,11/4/2025,64,960
13,2/22/2025,53,1325
25,9/15/2025,60,1260
20,1/25/2025,49,1029
10,7/21/2025,33,726
16,8/12/2025,30,690
14,6/2/2025,56,1064
15,1/30/2025,56,1400
15,6/13/2025,36,612
4,1/13/2025,49,931
16,10/11/2025,54,1026
14,5/14/2025,50,850
17,12/14/2025,58,928
6,2/26/2025,58,1276
14,12/31/2025,36,828
16,2/3/2025,55,1210
4,8/7/2025,60,1500
1,6/5/2025,27,594
7,11/6/2025,58,986
6,11/13/2025,50,750
2,4/24/2025,63,1134
2,2/16/2025,38,760
14,5/6/2025,50,1000
15,6/23/2025,39,585
12,2/15/2025,45,990
16,4/17/2025,61,1281
20,7/17/2025,25,475
9,5/19/2025,47,752
2,3/4/2025,30,450
3,8/23/2025,46,874
15,7/8/2025,58,928
3,8/25/2025,48,1056
25,6/8/2025,51,969
7,8/26/2025,48,1008
8,5/21/2025,27,513
10,4/14/2025,62,1364
22,7/15/2025,63,1323
20,1/18/2025,25,625
2,3/7/2025,36,576
3,5/6/2025,47,940
9,8/5/2025,39,702
4,6/24/2025,58,1044
10,1/27/2025,58,1160
22,12/16/2025,42,966
3,6/26/2025,53,1007
18,4/18/2025,34,850
7,5/21/2025,25,400
1,10/10/2025,28,588
3,5/1/2025,51,765
1,8/22/2025,60,960
23,5/4/2025,64,1344
19,7/8/2025,26,598
5,11/1/2025,62,1302
16,8/14/2025,36,756
10,3/7/2025,54,1242
14,7/4/2025,55,1155
14,12/16/2025,48,1056
6,1/16/2025,25,400
19,3/16/2025,61,1220
16,10/16/2025,36,576
16,12/14/2025,44,1012
20,4/27/2025,24,552
24,3/2/2025,58,1044
9,3/10/2025,46,966
4,11/3/2025,31,589
10,11/24/2025,45,945
3,4/26/2025,41,943
10,6/9/2025,42,630
5,6/9/2025,56,1232
25,8/31/2025,40,800
2,7/10/2025,40,680
7,5/24/2025,51,918
6,6/2/2025,43,774
10,1/12/2025,39,897
13,8/3/2025,27,567
16,6/24/2025,38,950
4,1/28/2025,35,700
25,6/10/2025,29,493
22,7/30/2025,36,792
11,10/21/2025,53,1272
5,6/15/2025,56,1288
24,2/19/2025,57,1140
9,3/7/2025,39,858
12,7/16/2025,26,468
12,2/9/2025,34,748
20,5/13/2025,63,945
7,6/8/2025,32,480
16,4/9/2025,40,760
1,9/24/2025,56,840
20,10/17/2025,37,888
11,7/16/2025,55,1100
20,5/18/2025,63,1386
22,1/15/2025,49,882
25,4/17/2025,44,880
12,4/6/2025,46,920
3,7/13/2025,24,600
21,10/25/2025,50,1000
22,7/28/2025,31,775
24,12/27/2025,63,1512
23,7/2/2025,29,580
25,12/6/2025,49,980
25,3/28/2025,40,800
16,12/21/2025,26,494
4,2/2/2025,26,494
24,10/30/2025,42,756
3,10/28/2025,34,544
20,3/14/2025,45,1035
3,7/20/2025,41,656
13,11/28/2025,46,1150
19,9/28/2025,31,496
1,3/1/2025,41,902
8,11/13/2025,30,600
20,8/7/2025,41,820
7,6/20/2025,51,765
16,12/25/2025,60,1380
12,7/18/2025,56,1064
2,6/22/2025,63,1008
17,11/21/2025,25,525
18,3/1/2025,59,1121
12,10/25/2025,30,510
17,1/24/2025,49,931
25,10/7/2025,41,1025
19,8/30/2025,32,576
4,9/24/2025,37,814
12,2/5/2025,37,814
8,6/16/2025,52,1300
14,11/29/2025,39,780
5,3/30/2025,37,851
8,12/25/2025,53,1166
13,12/9/2025,55,1210
21,6/30/2025,34,816
9,6/2/2025,30,540
7,1/8/2025,64,1536
2,4/24/2025,50,1150
17,11/21/2025,64,1344
2,10/20/2025,55,935
10,6/9/2025,45,675
9,7/31/2025,51,1020
6,3/15/2025,31,775
23,8/24/2025,48,816
21,2/1/2025,33,528
18,7/21/2025,25,525
