transaction_id,store_id,product_id,quantity,transaction_date
1,3,47,1,5/24/2025
2,15,83,1,1/27/2025
3,1,71,1,11/15/2025
4,5,38,2,11/19/2025
5,9,92,4,3/11/2025
6,24,71,1,5/30/2025
7,20,57,3,10/6/2025
8,1,62,1,4/26/2025
9,3,45,1,1/9/2025
10,6,59,2,11/27/2025
11,20,58,2,5/26/2025
12,15,29,4,12/19/2025
13,14,62,4,6/19/2025
14,13,23,1,8/2/2025
15,1,56,1,12/22/2025
16,24,30,4,7/13/2025
17,2,74,3,12/13/2025
18,3,15,1,4/4/2025
19,15,100,1,5/6/2025
20,10,70,2,10/1/2025
21,13,37,3,2/24/2025
22,3,13,1,1/29/2025
23,15,99,3,5/13/2025
24,6,69,3,2/1/2025
25,21,55,3,12/4/2025
26,9,58,2,7/14/2025
27,3,26,3,9/20/2025
28,2,25,1,4/29/2025
29,23,32,4,11/12/2025
30,9,5,2,8/24/2025
31,23,91,1,12/20/2025
32,25,28,4,3/28/2025
33,2,30,4,6/8/2025
34,2,59,1,5/9/2025
35,18,40,4,1/14/2025
36,10,62,2,6/14/2025
37,1,98,1,7/26/2025
38,6,87,3,6/16/2025
39,16,39,4,10/19/2025
40,16,41,1,5/7/2025
41,22,63,2,2/26/2025
42,1,17,4,5/3/2025
43,4,47,1,11/20/2025
44,10,69,3,3/18/2025
45,15,72,2,12/6/2025
46,24,78,2,10/22/2025
47,12,92,2,4/14/2025
48,9,22,1,6/28/2025
49,5,64,3,3/2/2025
50,20,13,1,11/16/2025
51,8,53,2,5/9/2025
52,13,2,1,3/19/2025
53,7,50,1,12/18/2025
54,20,89,3,1/2/2025
55,17,58,2,1/19/2025
56,24,100,2,8/12/2025
57,15,38,3,8/3/2025
58,8,56,1,1/20/2025
59,20,92,3,3/25/2025
60,20,31,1,10/5/2025
61,1,45,3,1/5/2025
62,4,23,3,12/19/2025
63,12,20,2,9/30/2025
64,23,58,1,8/16/2025
65,2,20,3,6/9/2025
66,7,10,3,4/22/2025
67,8,32,1,12/28/2025
68,12,52,4,6/30/2025
69,10,59,4,1/26/2025
70,4,2,2,1/6/2025
71,12,61,4,12/11/2025
72,17,25,2,12/23/2025
73,1,38,3,11/6/2025
74,7,84,4,2/3/2025
75,12,25,3,5/25/2025
76,4,81,2,9/29/2025
77,22,66,4,4/16/2025
78,4,6,1,12/23/2025
79,6,75,2,2/15/2025
80,5,2,4,4/20/2025
81,1,29,2,12/19/2025
82,16,1,4,4/14/2025
83,10,28,4,1/8/2025
84,16,43,3,3/11/2025
85,12,51,4,5/20/2025
86,11,54,2,4/20/2025
87,2,32,4,5/18/2025
88,23,34,2,3/14/2025
89,22,8,4,3/8/2025
90,12,57,2,2/1/2025
91,12,20,1,5/27/2025
92,2,29,2,9/30/2025
93,6,99,3,6/19/2025
94,7,38,3,7/4/2025
95,14,70,2,7/27/2025
96,19,63,3,12/24/2025
97,8,45,1,9/12/2025
98,20,46,1,10/31/2025
99,1,68,3,11/3/2025
100,9,81,2,10/29/2025
101,23,16,1,8/29/2025
102,15,2,1,7/12/2025
103,24,72,3,5/13/2025
104,9,68,2,4/25/2025
105,1,54,1,9/11/2025
106,1,88,1,2/26/2025
107,11,96,3,4/16/2025
108,6,37,3,5/26/2025
109,14,77,1,3/7/2025
110,9,38,2,8/24/2025
111,10,28,1,8/26/2025
112,20,17,2,11/6/2025
113,1,96,1,2/22/2025
